index,codigo,descricao
4,91001,Governo do Distrito Federal - DAR - Unidades com vínculo direto
5,91002,Prefeitura de São Luis - DAR - Unidades com vínculo direto
6,91010,Estatais do Ministério da Fazenda 
7,91080,Estatais do Ministério das Minas e Energia
8,91081,Empresas de Energia
9,91082,Empresas de Telecomunicações
10,91083,Companhia Vale do Rio Doce
11,91084,Petrobrás - Holding
12,91090,Estatais do Ministério dos Transportes
13,91100,Justiças Estaduais - Processos Judiciais  - Unidades com vínculo direto
14,91214,Autoridade Pública Olímpica
0,91700,ORGANISMOS INTERNACIONAIS - Unidades com vínculo direto
1,91800,Organizações Sociais - Unidades com vínculo direto
2,91900,Empresa Privada - Unidades com vínculo direto
3,92001,Município de Goianésia - Unidades com vínculo direto
4,93000,Região Norte
5,93120,Estado do Acre
6,93220,Estado do Amapá
7,93320,Estado do Amazonas
8,93420,Estado do Pará
9,93520,Estado de Rondônia 
10,93620,Estado de Roraima
11,93720,Estado de Tocantins
12,94000,Região Nordeste
13,94120,Estado do Maranhão
14,94220,Estado do Piauí
0,94320,Estado do Ceará
1,94420,Estado do Rio Grande do Norte
2,94520,Estado da Paraíba
3,94620,Estado de Pernambuco
4,94720,Estado das Alagoas
5,94820,Estado de Sergipe
6,94920,Estado da Bahia
7,95000,Região Sudeste
8,95120,Estado de Minas Gerais
9,95220,Estado do Espírito Santo
10,95320,Estado do Rio de Janeiro
11,95420,Estado de São Paulo
12,96000,Região Sul
13,96120,Estado do Paraná
14,96220,Estado de Santa Catarina
0,96320,Estado do Rio Grande do Sul
1,97000,Região Centro-Oeste
2,97120,Estado do Mato Grosso do Sul
3,97220,Estado do Mato Grosso
4,97320,Estado de Goiás
5,97400,Distrito Federal
6,99900,República Federativa do Brasil - Unidades com vínculo direto
