index,codigo,descricao
3,25908,Fundo Constitucional de Financiamento do Centro-Oeste - Integração
4,25910,Fundo Constitucional de Financiamento do Nordeste - Integração
5,25914,Fundo de Garantia à Exportação
6,25915,Fundo Constitucional do Distrito Federal
7,25916,Fundo Contingente da Extinta RFFSA-FCMP
8,25917,Fundo para Pagamento de Prestações no caso de Perda de Renda por Desemprego e Invalidez Temporária
9,26000,Ministério da Educação - Unidades com vínculo direto
10,26101,Fundo de Financiamento ao Estudante do Ensino Superior
11,26201,Colégio Pedro II
12,26202,Centro Federal de Educação Tecnológica de Alagoas
13,26203,Centro Federal de Educação Tecnológica do Amazonas
14,26204,Escola Técnica Federal da Bahia 
0,26205,Centro Federal de Educação Tecnológica de Campos
1,26206,Centro Federal de Educação Tecnológica do Ceará
2,26207,Centro Federal de Educação Tecnológica do Espírito Santo
3,26208,Centro Federal de Educação Tecnológica de Goiás
4,26209,Centro Federal de Educação Tecnológica do Maranhão
5,26210,Centro Federal de Educação Tecnológica do Mato Grosso
6,26211,Centro Federal de Educação Tecnológica de Ouro Preto 
7,26212,Centro Federal de Educação Tecnológica do Pará
8,26213,Centro Federal de Educação Tecnológica da Paraíba
9,26214,Centro Federal de Educação Tecnológica Pelotas
10,26215,Centro Federal de Educação Tecnológica de Pernambuco
11,26216,Centro Federal de Educação Tecnologica do Piaui 
12,26217,Centro Federal de Educação Tecnológica de Química - Nilópolis RJ
13,26218,Centro Federal de Educação Tecnológica do Rio Grande do Norte
14,26219,Centro Federal de Educação Tecnológica de Santa Catarina
0,26220,Centro Federal de Educação Tecnológica de São Paulo 
1,26221,Centro Federal de Educação Tecnológica de Sergipe
2,26222,Centro Federal de Educação Tencológica de Roraima
3,26223,Escola Técnica Federal de Palmas 
4,26224,Escola Técnica Federal de Rondônia
5,26230,Fundação Universidade Federal do Vale do São Francisco
6,26231,Universidade Federal de Alagoas
7,26232,Universidade Federal da Bahia
8,26233,Universidade Federal do Ceará
9,26234,Universidade Federal do Espírito Santo
10,26235,Universidade Federal de Goiás
11,26236,Universidade Federal Fluminense
12,26237,Universidade Federal de Juiz de Fora
13,26238,Universidade Federal de Minas Gerais
14,26239,Universidade Federal do Pará
0,26240,Universidade Federal da Paraíba
1,26241,Universidade Federal do Paraná
2,26242,Universidade Federal de Pernambuco 
3,26243,Universidade Federal do Rio Grande do Norte
4,26244,Universidade Federal do Rio Grande do Sul
5,26245,Universidade Federal do Rio de Janeiro
6,26246,Universidade Federal de Santa Catarina
7,26247,Universidade Federal de Santa Maria
8,26248,Universidade Federal Rural de Pernambuco
9,26249,Universidade Federal Rural do Rio de Janeiro 
10,26250,Universidade Federal de Roraima 
11,26251,Fundação Universidade Federal do Tocantins
12,26252,Universidade Federal de Campina Grande
13,26253,Universidade Federal Rural da Amazônia
14,26254,Universidade Federal do Triângulo Mineiro
0,26255,Universidade Federal dos Vales do Jequitinhonha e Mucuri
1,26256,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca
2,26257,Centro Federal de Educação Tecnológica de Minas Gerais
3,26258,Universidade Tecnológica Federal do Paraná 
4,26259,Centro Federal de Educação Tecnológica da Bahia
5,26260,Universidade Federal de Alfenas 
6,26261,Universidade Federal de Itajubá
7,26262,Universidade Federal de São Paulo
8,26263,Universidade Federal de Lavras 
9,26264,Universidade Federal Rural do Semi-Árido
10,26266,Fundação Universidade Federal do Pampa
11,26267,Universidade Federal da Integração Latino-Americana
12,26268,Fundação Universidade Federal de Rondônia
13,26269,Universidade Federal do Estado do Rio de Janeiro
14,26270,Fundação Universidade do Amazonas
0,26271,Fundação Universidade de Brasília
1,26272,Fundação Universidade do Maranhão
2,26273,Universidade Federal do Rio Grande
3,26274,Fundação Universidade Federal de Uberlândia 
4,26275,Fundação Universidade Federal do Acre
5,26276,Fundação Universidade Federal do Mato Grosso
6,26277,Universidade Federal de Ouro Preto
7,26278,Fundação Universidade Federal de Pelotas
8,26279,Fundação Universidade Federal do Piauí
9,26280,Fundação Universidade Federal de São Carlos
10,26281,Fundação Universidade Federal de Sergipe
11,26282,Universidade Federal de Viçosa
12,26283,Fundação Universidade Federal do Mato Grosso do Sul
13,26284,Fundação Universidade Federal de Ciências da Saúde de Porto Alegre
14,26285,Fundação Universidade Federal de São João Del-Rei
0,26286,Fundação Universidade Federal do Amapá
1,26287,Escola Agrotécnica Federal de Marabá
2,26288,Escola Agrotécnica Federal de Nova Andradina
3,26289,Escola Agrotécnica Federal de São Raimundo das Mangabeiras
4,26290,Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira
5,26291,Fundação Coordenação de Aperfeiçoamento de Pessoal de Nível Superior
6,26292,Fundação Joaquim Nabuco
7,26293,Fundação Roquette Pinto - em extinção
8,26294,Hospital de Clínicas de Porto Alegre
9,26295,Instituto Nacional de Desenvolvimento do Desporto
10,26298,Fundo Nacional de Desenvolvimento da Educação
11,26301,Centro Federal de Educação Tecnológica da Bahia
12,26302,Escola Agrotécnica Federal de Alegre 
13,26303,Escola Agrotécnica Federal de Alegrete
14,26304,Escola Agrotécnica Federal de Araguatins
0,26305,Centro Federal de Educação Tecnológica de Bambuí
1,26306,Escola Agrotécnica Federal de Barbacena
2,26307,Escola Agrotécnica Federal de Barreiros
3,26308,Escola Agrotécnica Federal de Belo Jardim
4,26309,Centro Federal de Educação Tecnológica de Bento Gonçalves
5,26310,Escola Agrotécnica Federal de Cáceres
6,26311,Escola Agrotécnica Federal de Castanhal
7,26312,Escola Agrotécnica Federal de Catu
8,26313,Escola Agrotécnica Federal de Colatina
9,26314,Escola Agrotécnica Federal de Concórdia
10,26315,Escola Agrotécnica Federal de Crato
11,26316,Centro Federal de Educação Tecnológica de Cuiabá
12,26317,Escola Agrotécnica Federal de Iguatu
13,26318,Escola Agrotécnica Federal de Inconfidentes
14,26319,Centro Federal de Educação Tecnológica de Januária
0,26320,Escola Agrotécnica Federal de Machado
1,26321,Escola Agrotécnica Federal de Manaus
2,26322,Escola Agrotécnica Federal de Muzambinho
3,26323,Centro Federal de Educação Tecnológica de Petrolina
4,26324,Centro Federal de Educação Tecnológica de Rio Pomba
5,26325,Centro Federal de Educação Tecnológica de Rio Verde
6,26326,Escola Agrotécnica Federal de Salinas
7,26327,Escola Agrotécnica Federal de Santa Teresa
8,26328,Escola Agrotécnica Federal de São Cristóvão
9,26329,Escola Agrotécnica Federal de São João Evangelista
10,26330,Escola Agrotécnica Federal de São Luis
11,26331,Centro Federal de Educação Tecnológica de São Vicente do Sul 
12,26332,Escola Agrotécnica Federal de Satuba
13,26333,Escola Agrotécnica Federal de Sertão
14,26334,Escola Agrotécnica Federal de Sousa
0,26335,Centro Federal de Educação Tecnológica de Uberaba
1,26336,Escola Agrotécnica Federal de Uberlândia
2,26337,Centro Federal de Educação Tecnológica de Urutaí
3,26338,Escola Agrotécnica Federal de Vitória de Santo Antão
4,26339,Escola Agrotécnica Federal de São Gabriel da Cachoeira
5,26340,Escola Agrotécnica Federal de Sombrio
6,26341,Escola Agrotécnica Federal de Ceres
